season,Team,Elo
2022,Louisiana Tech,1379.4433213026782
2022,Charlotte,1378.4563509280797
2022,Old Dominion,1376.2611731439092
2022,Texas State,1373.3204035491767
2022,Arizona State,1369.6811061979824
2022,Rutgers,1367.2760127966226
2022,Arkansas State,1361.9658336062043
2022,Hawai'i,1356.7890517681576
2022,Florida International,1349.8843014148122
2022,Akron,1348.753779002764
2022,Boston College,1339.9942321307963
2022,Northern Illinois,1334.5643257421104
2022,Stanford,1333.1950255749093
2022,Nevada,1318.1602691354656
2022,Northwestern,1315.7735732791239
2022,Colorado,1312.502880729243
2022,South Florida,1311.799964753701
2022,New Mexico,1288.3689953753571
2022,Massachusetts,1276.1864755095462
2023,Michigan,1793.067736701739
2023,Georgia,1774.3998713177023
2023,Oregon,1720.2937538014176
2023,Texas,1715.2792731756942
2023,Washington,1712.6801641890559
2023,Liberty,1705.8220263780206
2023,Florida State,1689.722326569196
2023,Alabama,1689.2496930128648
2023,Miami (OH),1684.6452953818948
2023,Notre Dame,1676.7776148121034
2023,Missouri,1674.9626773554144
2023,James Madison,1667.3599201924726
2023,Arizona,1665.0720177476467
2023,Ohio State,1663.9890359516312
2023,LSU,1653.6666712952256
2023,SMU,1649.011746148235
2023,Ole Miss,1640.5337814006728
2023,Troy,1638.8963363983983
2023,Oklahoma,1631.7967085370317
2023,Penn State,1622.572983540032
2023,Clemson,1620.545749490412
2023,Toledo,1618.0712038257104
2023,UTSA,1616.9092185406034
2023,Ohio,1613.555182649182
2023,Memphis,1608.186971220229
2023,Kansas State,1602.9564976418565
2023,Boise State,1600.0817276711166
2023,Kansas,1595.140359214334
2023,Virginia Tech,1591.3282823031786
2023,West Virginia,1580.5572773948866
2023,New Mexico State,1579.5571326167237
2023,Iowa,1578.7667239683394
2023,San Jose State,1574.93207894838
2023,Tulane,1571.4545616877897
2023,Oklahoma State,1568.4988643574645
2023,Air Force,1565.7224998605802
2023,Jacksonville State,1564.3355542923002
2023,Maryland,1561.876267328782
2023,Oregon State,1558.9794792245712
2023,Northwestern,1555.040822969874
2023,South Alabama,1552.772967012353
2023,Iowa State,1550.3261039866625
2023,Louisville,1549.4338889359153
2023,Georgia Tech,1548.5085686151049
2023,Duke,1547.35452660237
2023,Tennessee,1547.2802272947301
2023,Fresno State,1539.3690677326329
2023,Wyoming,1539.1473147512231
2023,UCLA,1538.0992812537124
2023,UNLV,1535.9314203576048
2023,Bowling Green,1535.0448399030765
2023,Texas State,1533.0573759817426
2023,Northern Illinois,1532.4650267808627
2023,USC,1530.7394033641183
2023,Texas Tech,1524.818352940996
2023,Georgia State,1524.4527925604662
2023,Western Kentucky,1520.5002324522666
2023,Wisconsin,1519.7530221490867
2023,Miami,1513.4931030005712
2023,Texas A&M,1512.3316553375266
2023,Coastal Carolina,1511.4190996869834
2023,South Florida,1506.2557437456278
2023,Kentucky,1504.9813790263622
2023,Utah,1499.64672422004
2023,Army,1497.8449235837609
2023,North Carolina,1488.566599086463
2023,Boston College,1486.023302152576
2023,Arkansas State,1485.1460059811639
2023,TCU,1479.481253509708
2023,Auburn,1475.372377037873
2023,California,1474.477363566272
2023,UCF,1473.10900401086
2023,Rutgers,1471.5564784920628
2023,Nebraska,1470.8280224072298
2023,South Carolina,1470.6452811074525
2023,Georgia Southern,1468.4459858718965
2023,North Texas,1467.160518632768
2023,Louisiana,1466.5433475201414
2023,Rice,1465.8980115529766
2023,Marshall,1463.0467303841542
2023,Old Dominion,1461.28221995922
2023,Florida,1460.5415612500178
2023,NC State,1459.24673250494
2023,Minnesota,1452.7852582733854
2023,Navy,1452.2158583197822
2023,Purdue,1445.3224788218536
2023,Utah State,1442.4036534689271
2023,Colorado State,1441.1083951702421
2023,Middle Tennessee,1437.9030439402356
2023,Washington State,1431.6175923417077
2023,Syracuse,1431.3464393986244
2023,Eastern Michigan,1429.0536162986662
2023,Central Michigan,1423.2435239435656
2023,Hawai'i,1422.0345012552066
2023,Illinois,1421.151206211074
2023,Ball State,1417.691166346618
2023,Arkansas,1416.5029195345678
2023,Buffalo,1408.8918611830588
2023,Western Michigan,1408.4615101305692
2023,Mississippi State,1405.316731958961
2023,BYU,1402.5027959739052
2023,Florida Atlantic,1400.6733923140068
2023,San Diego State,1393.0494520863658
2023,Uconn,1392.0256123336637
2023,Colorado,1391.0905852432882
2023,New Mexico,1389.803616171101
2023,Indiana,1389.6789678472815
2023,Virginia,1389.4686148220937
2023,UAB,1388.7117444364674
2023,Wake Forest,1384.8835458131973
2023,Arizona State,1384.1483524300656
2023,Sam Houston,1383.5181597179
2023,Michigan State,1381.541014627666
2023,Stanford,1376.8453175797833
2023,East Carolina,1376.309226823444
2023,Pittsburgh,1376.066355366136
2023,Southern Miss,1365.8686634029398
2023,Houston,1362.6530782186217
2023,UTEP,1358.6063320214128
2023,Cincinnati,1358.1433209928828
2023,Tulsa,1354.5490034199383
2023,Baylor,1349.8554867619905
2023,Florida International,1342.9969387266526
2023,Louisiana Tech,1340.0751089456876
2023,Akron,1333.1006507469951
2023,Nevada,1332.6956771206367
2023,Massachusetts,1329.1716743180311
2023,Charlotte,1326.025992557426
2023,Temple,1316.0202795847867
2023,UL Monroe,1303.9159829590149
2023,Vanderbilt,1293.8979280469716
2023,Kent State,1280.593161224413
2024,Notre Dame,1763.533076767717
2024,Ohio State,1746.3394625975025
2024,Oregon,1714.6024096884844
2024,Penn State,1710.2589480633346
2024,Texas,1687.269837958738
2024,Ole Miss,1676.1946629735098
2024,Ohio,1672.0491268115236
2024,Arizona State,1660.4032990850708
2024,BYU,1656.7229418740144
2024,Army,1654.7642613386122
2024,Indiana,1649.44435758965
2024,Marshall,1648.7148950219537
2024,Boise State,1647.4093503342087
2024,Clemson,1644.9216447214742
2024,SMU,1639.5689647783443
2024,Jacksonville State,1635.0136006826708
2024,Georgia,1634.472155425526
2024,Memphis,1633.887391746614
2024,South Carolina,1631.405616824292
2024,Miami,1624.434335284675
2024,UNLV,1621.1837866821322
2024,Miami (OH),1621.0897531897115
2024,Syracuse,1617.9124366022008
2024,Navy,1616.6816749177349
