season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-09-18,Mississippi State,Memphis,L,-2,1511.5356020135514
2021,2021-09-18,NC State,Florida State,W,21,1499.0523668510116
2021,2021-09-18,Nebraska,Oklahoma,L,-7,1544.8331577647853
2021,2021-09-18,Nevada,Kansas State,L,-21,1440.131959499188
2021,2021-09-18,New Mexico,Texas A&M,L,-34,1503.4860083701753
2021,2021-09-18,North Carolina,Virginia,W,20,1661.1821436623056
2021,2021-09-18,North Texas,UAB,L,-34,1372.6064588988952
2021,2021-09-18,Northern Illinois,Michigan,L,-53,1388.6616527819167
2021,2021-09-18,Northwestern,Duke,L,-7,1466.7289353331225
2021,2021-09-18,Notre Dame,Purdue,W,14,1602.626522059172
2021,2021-09-18,Ohio State,Tulsa,W,21,1512.2562480789068
2021,2021-09-18,Oklahoma,Nebraska,W,7,1571.1947581259235
2021,2021-09-18,Oklahoma State,Boise State,W,1,1576.8730127732233
2021,2021-09-18,Old Dominion,Liberty,L,-28,1431.7331498905585
2021,2021-09-18,Ole Miss,Tulane,W,40,1510.6264507741973
2021,2021-09-18,Penn State,Auburn,W,8,1558.413782909311
2021,2021-09-18,Pittsburgh,Western Michigan,L,-3,1511.531902754117
2021,2021-09-18,Purdue,Notre Dame,L,-14,1502.9854855163696
2021,2021-09-18,Rice,Texas,L,-58,1372.0900540079713
2021,2021-09-18,SMU,Louisiana Tech,W,2,1604.9058066222294
2021,2021-09-18,San Diego State,Utah,W,2,1630.8372158798802
2021,2021-09-18,South Carolina,Georgia,L,-27,1506.1944381744763
2021,2021-09-18,Southern Miss,Troy,L,-12,1454.9388348901193
2021,2021-09-18,Stanford,Vanderbilt,W,18,1649.670343483651
2021,2021-09-18,Temple,Boston College,L,-25,1532.1100935529205
2021,2021-09-18,Texas,Rice,W,58,1517.619726374936
2021,2021-09-18,Texas A&M,New Mexico,W,34,1626.5993527954467
2021,2021-09-18,Texas Tech,Florida International,W,33,1540.4568497765695
2021,2021-09-18,Toledo,Colorado State,L,-16,1412.4255191100858
2021,2021-09-18,Troy,Southern Miss,W,12,1520.2856127976977
2021,2021-09-18,Tulane,Ole Miss,L,-40,1406.8656785254339
2021,2021-09-18,Tulsa,Ohio State,L,-21,1375.0225106797063
2021,2021-09-18,UAB,North Texas,W,34,1513.2762309237362
2021,2021-09-18,UCLA,Fresno State,L,-3,1481.044902386382
2021,2021-09-18,UNLV,Iowa State,L,-45,1336.8946590768544
2021,2021-09-18,USC,Washington State,W,31,1556.5229541709928
2021,2021-09-18,UTSA,Middle Tennessee,W,14,1579.716268315826
2021,2021-09-18,Uconn,Army,L,-31,1415.9839149338554
2021,2021-09-18,Utah,San Diego State,L,-2,1412.21461530584
2021,2021-09-18,Utah State,Air Force,W,4,1528.949209901858
2021,2021-09-18,Vanderbilt,Stanford,L,-18,1501.0517483394144
2021,2021-09-18,Virginia,North Carolina,L,-20,1528.1647385720669
2021,2021-09-18,Virginia Tech,West Virginia,L,-6,1545.5534195564385
2021,2021-09-18,Wake Forest,Florida State,W,21,1548.0
2021,2021-09-18,Washington,Arkansas State,W,49,1471.4761784315533
2021,2021-09-18,Washington State,USC,L,-31,1447.239820170691
2021,2021-09-18,West Virginia,Virginia Tech,W,6,1566.7203766804012
2021,2021-09-18,Western Michigan,Pittsburgh,W,3,1524.2624571937952
2021,2021-09-18,Wyoming,Ball State,W,33,1585.7567402326956
2021,2021-09-19,San Jose State,Hawai'i,W,4,1474.718741315914
2021,2021-09-24,Charlotte,Middle Tennessee,W,3,1434.946953187645
2021,2021-09-24,Fresno State,UNLV,W,8,1529.2867584999678
2021,2021-09-24,Liberty,Syracuse,L,-3,1575.6044127274813
