season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2023,2023-10-07,Army,Boston College,L,-3,1470.0360694196129
2023,2023-10-07,Ball State,Eastern Michigan,L,-14,1174.4859252221588
2023,2023-10-07,Baylor,Texas Tech,L,-25,1510.7742509990203
2023,2023-10-07,Boston College,Army,W,3,1288.441559366634
2023,2023-10-07,Bowling Green,Miami (OH),L,-27,1391.5320028432754
2023,2023-10-07,Buffalo,Central Michigan,W,24,1401.7490648961914
2023,2023-10-07,California,Oregon State,L,-12,1318.9388195599522
2023,2023-10-07,Central Michigan,Buffalo,L,-24,1348.0301808187721
2023,2023-10-07,Clemson,Wake Forest,W,5,1841.878846195942
2023,2023-10-07,Colorado,Arizona State,W,3,1359.244660646362
2023,2023-10-07,Colorado State,Utah State,L,-20,1280.4225429176295
2023,2023-10-07,Eastern Michigan,Ball State,W,14,1393.7874773786195
2023,2023-10-07,Florida,Vanderbilt,W,24,1529.183437773469
2023,2023-10-07,Florida Atlantic,Tulsa,W,3,1285.6840911880981
2023,2023-10-07,Florida State,Virginia Tech,W,22,1856.1881352788862
2023,2023-10-07,Fresno State,Wyoming,L,-5,1746.9955626170718
2023,2023-10-07,Georgia,Kentucky,W,38,2085.1957474024503
2023,2023-10-07,Georgia Tech,Miami,W,3,1341.2707253713081
2023,2023-10-07,Iowa,Purdue,W,6,1729.3631804605266
2023,2023-10-07,Iowa State,TCU,W,13,1546.3789079298572
2023,2023-10-07,Kansas,UCF,W,29,1632.4986120177073
2023,2023-10-07,Kent State,Ohio,L,-25,1314.2410109246252
2023,2023-10-07,Kentucky,Georgia,L,-38,1675.6761867794744
2023,2023-10-07,LSU,Missouri,W,10,1797.2412177715441
2023,2023-10-07,Louisiana,Texas State,W,4,1511.7115600869051
2023,2023-10-07,Louisville,Notre Dame,W,13,1827.0898890660217
2023,2023-10-07,Marshall,NC State,L,-7,1660.6630050067474
2023,2023-10-07,Maryland,Ohio State,L,-20,1646.9516173454722
2023,2023-10-07,Massachusetts,Toledo,L,-17,913.1268065499893
2023,2023-10-07,Miami,Georgia Tech,L,-3,1420.605303997815
2023,2023-10-07,Miami (OH),Bowling Green,W,27,1609.7030699984582
2023,2023-10-07,Michigan,Minnesota,W,42,2091.240597620028
2023,2023-10-07,Minnesota,Michigan,L,-42,1622.2560151340165
2023,2023-10-07,Mississippi State,Western Michigan,W,13,1554.216847927607
2023,2023-10-07,Missouri,LSU,L,-10,1598.0249869263678
2023,2023-10-07,NC State,Clemson,L,-5,1552.3398383229369
2023,2023-10-07,Navy,North Texas,W,3,1363.925062011495
2023,2023-10-07,North Carolina,Syracuse,W,33,1799.5403620732452
2023,2023-10-07,North Texas,Navy,L,-3,1358.5377618449668
2023,2023-10-07,Northern Illinois,Akron,W,41,1127.2395415219698
2023,2023-10-07,Notre Dame,Louisville,L,-13,1775.0756449417565
2023,2023-10-07,Ohio,Kent State,W,25,1673.3860528785244
2023,2023-10-07,Ohio State,Maryland,W,20,1956.8546541169183
2023,2023-10-07,Oklahoma,Texas,W,4,1801.348847928631
2023,2023-10-07,Old Dominion,Southern Miss,W,4,1356.6385993275785
2023,2023-10-07,Ole Miss,Arkansas,W,7,1721.9248845764578
2023,2023-10-07,Oregon State,California,W,12,1815.0703369644789
2023,2023-10-07,Purdue,Iowa,L,-6,1515.2196707746762
2023,2023-10-07,Rutgers,Wisconsin,L,-11,1356.9197289600088
2023,2023-10-07,San Jose State,Boise State,L,-8,1438.3940811637653
2023,2023-10-07,South Alabama,UL Monroe,W,48,1553.851882962641
2023,2023-10-07,South Florida,UAB,L,-21,1226.8721996028892
2023,2023-10-07,Southern Miss,Old Dominion,L,-4,1226.3568084394262
2023,2023-10-07,Syracuse,North Carolina,L,-33,1566.1789039716346
2023,2023-10-07,TCU,Iowa State,L,-13,1809.1850486596375
2023,2023-10-07,Temple,UTSA,L,-15,1086.14817381009
2023,2023-10-07,Texas,Oklahoma,L,-4,1805.781936004151
2023,2023-10-07,Texas A&M,Alabama,L,-6,1612.4220926169885
2023,2023-10-07,Texas State,Louisiana,L,-4,1344.6865657095852
2023,2023-10-07,Texas Tech,Baylor,W,25,1717.5746096646399
2023,2023-10-07,Toledo,Massachusetts,W,17,1616.2503131790681
2023,2023-10-07,Troy,Arkansas State,W,34,1780.7317980044131
2023,2023-10-07,Tulsa,Florida Atlantic,L,-3,1354.0702258060198
2023,2023-10-07,UAB,South Florida,W,21,1420.3092306049389
2023,2023-10-07,UCF,Kansas,L,-29,1488.1761762537142
2023,2023-10-07,UCLA,Washington State,W,8,1701.3986671782293
2023,2023-10-07,UL Monroe,South Alabama,L,-48,1167.1711872657977
2023,2023-10-07,USC,Arizona,W,2,1758.3549898947865
2023,2023-10-07,UTSA,Temple,W,15,1572.2325834489932
2023,2023-10-07,Uconn,Rice,W,7,1280.3766029139686
2023,2023-10-07,Utah State,Colorado State,W,20,1473.5682497307362
2023,2023-10-07,Vanderbilt,Florida,L,-24,1213.9879167441036
2023,2023-10-07,Virginia Tech,Florida State,L,-22,1266.1827388326674
2023,2023-10-07,Wake Forest,Clemson,L,-5,1524.5543356096368
2023,2023-10-07,Washington State,UCLA,L,-8,1595.4167411968351
2023,2023-10-07,Western Michigan,Mississippi State,L,-13,1321.0593115119943
2023,2023-10-07,Wisconsin,Rutgers,W,11,1644.259915349919
2023,2023-10-07,Wyoming,Fresno State,W,5,1520.5922932902638
2023,2023-10-10,Jacksonville State,Liberty,L,-18,1516.6730762004754
2023,2023-10-10,Liberty,Jacksonville State,W,18,1664.2928985651752
2023,2023-10-10,Louisiana Tech,Middle Tennessee,L,-8,1161.0223870727566
2023,2023-10-10,Middle Tennessee,Louisiana Tech,W,8,1331.6410762271132
2023,2023-10-11,Florida International,UTEP,L,-13,1101.3748255199478
2023,2023-10-11,New Mexico State,Sam Houston,W,14,1413.5193143917681
2023,2023-10-11,Sam Houston,New Mexico State,L,-14,1290.8256931574028
2023,2023-10-11,UTEP,Florida International,W,13,1135.396720333747
2023,2023-10-12,East Carolina,SMU,L,-21,1370.0535002769966
2023,2023-10-12,Houston,West Virginia,W,2,1565.0911027633942
2023,2023-10-12,SMU,East Carolina,W,21,1538.3931003857638
2023,2023-10-12,West Virginia,Houston,L,-2,1601.9109675551101
2023,2023-10-13,Colorado,Stanford,L,-3,1316.4039138450794
2023,2023-10-13,Fresno State,Utah State,W,5,1755.4962344113924
2023,2023-10-13,Memphis,Tulane,L,-10,1527.5944713818717
2023,2023-10-13,Stanford,Colorado,W,3,1207.7122540197377
2023,2023-10-13,Tulane,Memphis,W,10,1732.9426574768902
2023,2023-10-13,Utah State,Fresno State,L,-5,1479.5322507047683
2023,2023-10-14,Air Force,Wyoming,W,7,1838.5838819538317
2023,2023-10-14,Akron,Central Michigan,L,-7,1005.009879682953
2023,2023-10-14,Alabama,Arkansas,W,3,1923.9103919841534
2023,2023-10-14,Arizona,Washington State,W,38,1437.1175584029088
2023,2023-10-14,Arkansas,Alabama,L,-3,1500.2934877689236
2023,2023-10-14,Army,Troy,L,-19,1433.9846122501299
2023,2023-10-14,Auburn,LSU,L,-30,1437.2192104355247
2023,2023-10-14,BYU,TCU,L,-33,1558.999704897908
2023,2023-10-14,Ball State,Toledo,L,-7,1154.8511492050422
2023,2023-10-14,Boise State,Colorado State,L,-1,1621.992712940211
2023,2023-10-14,Bowling Green,Buffalo,W,10,1450.5775294601572
2023,2023-10-14,Buffalo,Bowling Green,L,-10,1405.7817216566923
2023,2023-10-14,California,Utah,L,-20,1311.8586821167019
2023,2023-10-14,Central Michigan,Akron,W,7,1359.7095959880578
2023,2023-10-14,Charlotte,Navy,L,-14,1130.4062500564808
2023,2023-10-14,Cincinnati,Iowa State,L,-20,1450.219784373725
2023,2023-10-14,Colorado State,Boise State,W,1,1294.722083817599
2023,2023-10-14,Duke,NC State,W,21,1628.9087252014203
2023,2023-10-14,Eastern Michigan,Kent State,W,14,1445.6087918341173
2023,2023-10-14,Florida,South Carolina,W,2,1578.4391761983911
2023,2023-10-14,Florida Atlantic,South Florida,W,42,1350.5161606289773
2023,2023-10-14,Florida State,Syracuse,W,38,1868.6034836774168
2023,2023-10-14,Georgia,Vanderbilt,W,17,2092.71531446418
2023,2023-10-14,Georgia Southern,James Madison,L,-28,1502.303771877831
2023,2023-10-14,Georgia State,Marshall,W,17,1676.2767245633484
2023,2023-10-14,Hawai'i,San Diego State,L,-7,1231.2606229571063
2023,2023-10-14,Illinois,Maryland,W,3,1372.7415441637236
2023,2023-10-14,Indiana,Michigan,L,-45,1249.686515393628
2023,2023-10-14,Iowa,Wisconsin,W,9,1754.8881422969782
2023,2023-10-14,Iowa State,Cincinnati,W,20,1590.9600897439586
2023,2023-10-14,James Madison,Georgia Southern,W,28,1771.9013583875492
2023,2023-10-14,Kansas,Oklahoma State,L,-7,1553.861166471854
2023,2023-10-14,Kansas State,Texas Tech,W,17,1849.8052055785893
2023,2023-10-14,Kent State,Eastern Michigan,L,-14,1275.904958877356
2023,2023-10-14,Kentucky,Missouri,L,-17,1622.8513848333603
2023,2023-10-14,LSU,Auburn,W,30,1806.9576990731493
2023,2023-10-14,Louisville,Pittsburgh,L,-17,1811.1394298472555
2023,2023-10-14,Marshall,Georgia State,L,-17,1608.8136216744513
2023,2023-10-14,Maryland,Illinois,L,-3,1618.8884577673812
2023,2023-10-14,Massachusetts,Penn State,L,-63,912.9201252418708
2023,2023-10-14,Miami,North Carolina,L,-10,1415.1644264599324
2023,2023-10-14,Miami (OH),Western Michigan,W,13,1619.8492114066553
2023,2023-10-14,Michigan,Indiana,W,45,2092.218955895821
2023,2023-10-14,Michigan State,Rutgers,L,-3,1367.0431989405156
2023,2023-10-14,Missouri,Kentucky,W,17,1678.5345979302601
2023,2023-10-14,NC State,Virginia Tech,L,-17,1533.7563124123365
2023,2023-10-14,Navy,Charlotte,W,14,1380.6339107778524
2023,2023-10-14,Nevada,UNLV,L,-18,1111.2355748690336
2023,2023-10-14,North Carolina,Miami,W,10,1810.0793595576986
2023,2023-10-14,North Texas,Temple,W,31,1351.987880276251
2023,2023-10-14,Northern Illinois,Ohio,W,10,1258.415237149997
2023,2023-10-14,Notre Dame,USC,W,28,1820.7673828613038
2023,2023-10-14,Ohio,Northern Illinois,L,-10,1627.2335974361988
2023,2023-10-14,Ohio State,Purdue,W,34,1977.2187966624547
2023,2023-10-14,Oklahoma State,Kansas,W,7,1498.263327566807
2023,2023-10-14,Oregon,Washington,L,-3,1826.8903319471674
2023,2023-10-14,Oregon State,UCLA,W,12,1842.4917222514994
2023,2023-10-14,Penn State,Massachusetts,W,63,1905.3805179180995
2023,2023-10-14,Pittsburgh,Louisville,W,17,1497.8719538325286
2023,2023-10-14,Purdue,Ohio State,L,-34,1498.365416537291
2023,2023-10-14,Rutgers,Michigan State,W,3,1371.2838236998002
2023,2023-10-14,San Diego State,Hawai'i,W,7,1443.1022650394664
2023,2023-10-14,San Jose State,New Mexico,W,28,1447.8361994712805
2023,2023-10-14,South Carolina,Florida,L,-2,1589.1618721952655
2023,2023-10-14,South Florida,Florida Atlantic,L,-42,1167.3690942632102
2023,2023-10-14,Syracuse,Florida State,L,-38,1522.3746150579889
2023,2023-10-14,TCU,BYU,W,33,1784.6373939747568
2023,2023-10-14,Temple,North Texas,L,-31,1052.9403564795557
2023,2023-10-14,Tennessee,Texas A&M,W,7,1851.5593821707803
2023,2023-10-14,Texas A&M,Tennessee,L,-7,1600.5115656413814
2023,2023-10-14,Texas State,UL Monroe,W,1,1337.127916092458
2023,2023-10-14,Texas Tech,Kansas State,L,-17,1701.328271325667
2023,2023-10-14,Toledo,Ball State,W,7,1622.836601657041
2023,2023-10-14,Troy,Army,W,19,1800.1866674838889
2023,2023-10-14,UAB,UTSA,L,-21,1376.2813891710814
2023,2023-10-14,UCLA,Oregon State,L,-12,1657.664011132712
2023,2023-10-14,UL Monroe,Texas State,L,-1,1157.0098570852504
2023,2023-10-14,UNLV,Nevada,W,18,1479.4546587078762
2023,2023-10-14,USC,Notre Dame,L,-28,1679.1467282173294
2023,2023-10-14,UTSA,UAB,W,21,1597.0579457402737
2023,2023-10-14,Utah,California,W,20,1807.9657693712304
2023,2023-10-14,Vanderbilt,Georgia,L,-17,1213.4033307028246
2023,2023-10-14,Virginia Tech,Wake Forest,W,17,1379.87655478201
2023,2023-10-14,Wake Forest,Virginia Tech,L,-17,1409.2844846511312
2023,2023-10-14,Washington,Oregon,W,3,1856.404003756857
2023,2023-10-14,Washington State,Arizona,L,-38,1441.5370697350309
2023,2023-10-14,Western Michigan,Miami (OH),L,-13,1301.880811946581
2023,2023-10-14,Wisconsin,Iowa,L,-9,1598.7298664099878
2023,2023-10-14,Wyoming,Air Force,L,-7,1540.131844506712
2023,2023-10-17,Jacksonville State,Western Kentucky,W,3,1540.2645482589098
2023,2023-10-17,Liberty,Middle Tennessee,W,7,1702.204456067935
2023,2023-10-17,Middle Tennessee,Liberty,L,-7,1326.3714808546358
2023,2023-10-17,South Alabama,Southern Miss,W,52,1573.3188035168266
2023,2023-10-17,Southern Miss,South Alabama,L,-52,1190.9334109092028
2023,2023-10-17,Western Kentucky,Jacksonville State,L,-3,1510.0408871736993
2023,2023-10-18,Florida International,Sam Houston,W,6,1097.5252238248106
2023,2023-10-18,New Mexico State,UTEP,W,21,1462.4981392866846
2023,2023-10-18,Sam Houston,Florida International,L,-6,1214.2695932873994
2023,2023-10-18,UTEP,New Mexico State,L,-21,1124.6954596759565
2023,2023-10-19,James Madison,Marshall,W,11,1787.0861738307178
2023,2023-10-19,Marshall,James Madison,L,-11,1539.1553427580855
2023,2023-10-19,Rice,Tulsa,W,32,1321.3123320301022
2023,2023-10-19,Tulsa,Rice,L,-32,1265.0677795866277
2023,2023-10-20,SMU,Temple,W,55,1572.3900189034493
2023,2023-10-20,Temple,SMU,L,-55,1048.8673411876598
2023,2023-10-21,Air Force,Navy,W,11,1853.5903618345185
2023,2023-10-21,Akron,Bowling Green,L,-27,989.8895208771313
2023,2023-10-21,Alabama,Tennessee,W,14,1981.1642972228005
2023,2023-10-21,Arizona State,Washington,L,-8,1189.3797874026538
2023,2023-10-21,Arkansas,Mississippi State,L,-4,1465.0109909422704
2023,2023-10-21,Arkansas State,Coastal Carolina,L,-10,1234.2174819218214
2023,2023-10-21,Army,LSU,L,-62,1417.4756625385437
2023,2023-10-21,Auburn,Ole Miss,L,-7,1422.651854666728
2023,2023-10-21,BYU,Texas Tech,W,13,1651.723196396512
2023,2023-10-21,Ball State,Central Michigan,W,7,1232.5677499713843
2023,2023-10-21,Baylor,Cincinnati,W,3,1527.946134792245
2023,2023-10-21,Boston College,Georgia Tech,W,15,1338.2160290491884
2023,2023-10-21,Bowling Green,Akron,W,27,1455.4632114826911
2023,2023-10-21,Buffalo,Kent State,W,18,1396.9434097934638
2023,2023-10-21,Central Michigan,Ball State,L,-7,1318.378299473714
2023,2023-10-21,Charlotte,East Carolina,W,3,1158.261490191548
2023,2023-10-21,Cincinnati,Baylor,L,-3,1418.3629228320883
2023,2023-10-21,Clemson,Miami,L,-8,1798.3376721286704
2023,2023-10-21,Coastal Carolina,Arkansas State,W,10,1451.7261852721908
2023,2023-10-21,Colorado State,UNLV,L,-2,1293.3552903336238
2023,2023-10-21,Duke,Florida State,L,-18,1602.8873810851821
2023,2023-10-21,East Carolina,Charlotte,L,-3,1314.955642142803
2023,2023-10-21,Eastern Michigan,Northern Illinois,L,-7,1366.217422555614
2023,2023-10-21,Florida Atlantic,UTSA,L,-26,1323.8460195915807
2023,2023-10-21,Florida State,Duke,W,18,1893.381068287924
2023,2023-10-21,Georgia Southern,UL Monroe,W,10,1500.528248088664
2023,2023-10-21,Georgia State,Louisiana,W,3,1686.7195631003992
2023,2023-10-21,Georgia Tech,Boston College,L,-15,1276.4281145117418
2023,2023-10-21,Hawai'i,New Mexico,L,-21,1109.436614047736
2023,2023-10-21,Houston,Texas,L,-7,1562.423267417555
2023,2023-10-21,Illinois,Wisconsin,L,-4,1356.0037856388424
2023,2023-10-21,Indiana,Rutgers,L,-17,1206.378162115205
2023,2023-10-21,Iowa,Minnesota,L,-2,1733.1326151322655
2023,2023-10-21,Kansas State,TCU,W,38,1922.9473704320671
2023,2023-10-21,Kent State,Buffalo,L,-18,1203.90453102883
2023,2023-10-21,LSU,Army,W,62,1832.4028214525645
2023,2023-10-21,Louisiana,Georgia State,L,-3,1491.8936238707608
2023,2023-10-21,Memphis,UAB,W,24,1573.353164553073
2023,2023-10-21,Miami,Clemson,W,8,1498.0225925474429
2023,2023-10-21,Miami (OH),Toledo,L,-4,1581.6103352058662
2023,2023-10-21,Michigan,Michigan State,W,49,2094.2850006855333
2023,2023-10-21,Michigan State,Michigan,L,-49,1366.0034179297036
2023,2023-10-21,Minnesota,Iowa,W,2,1638.3968286929185
2023,2023-10-21,Mississippi State,Arkansas,W,4,1588.424080493693
2023,2023-10-21,Missouri,South Carolina,W,22,1709.787363428991
2023,2023-10-21,NC State,Pittsburgh,W,4,1520.5990412302713
2023,2023-10-21,Navy,Air Force,L,-11,1390.957690140012
2023,2023-10-21,Nebraska,Northwestern,W,8,1485.8606244136035
2023,2023-10-21,Nevada,San Diego State,W,6,1143.1521635948698
2023,2023-10-21,New Mexico,Hawai'i,W,21,1144.392827613951
2023,2023-10-21,North Carolina,Virginia,L,-4,1780.9900072105856
2023,2023-10-21,North Texas,Tulane,L,-7,1360.9563273202093
2023,2023-10-21,Northern Illinois,Eastern Michigan,W,7,1299.3502572301193
2023,2023-10-21,Northwestern,Nebraska,L,-8,1280.0897496537614
2023,2023-10-21,Ohio,Western Michigan,W,3,1590.4876773908243
2023,2023-10-21,Ohio State,Penn State,W,8,2003.0948399842348
2023,2023-10-21,Oklahoma,UCF,W,2,1831.0355721456172
2023,2023-10-21,Oklahoma State,West Virginia,W,14,1622.3825608437396
2023,2023-10-21,Ole Miss,Auburn,W,7,1742.285092060039
2023,2023-10-21,Oregon,Washington State,W,14,1818.3434222316682
2023,2023-10-21,Penn State,Ohio State,L,-8,1859.2035432850728
2023,2023-10-21,Pittsburgh,Wake Forest,L,-4,1417.629957258437
2023,2023-10-21,Rutgers,Indiana,W,17,1418.2055381153957
2023,2023-10-21,San Diego State,Nevada,L,-6,1364.4642553883668
2023,2023-10-21,San Jose State,Utah State,W,21,1499.9164272903533
2023,2023-10-21,South Carolina,Missouri,L,-22,1516.5366712697107
2023,2023-10-21,Stanford,UCLA,L,-35,1222.0831300020584
2023,2023-10-21,TCU,Kansas State,L,-38,1764.24652351197
2023,2023-10-21,Tennessee,Alabama,L,-14,1820.090828333351
2023,2023-10-21,Texas,Houston,W,7,1817.3904487287862
2023,2023-10-21,Texas Tech,BYU,L,-13,1625.0612677074798
2023,2023-10-21,Toledo,Miami (OH),W,4,1648.8568596014106
2023,2023-10-21,Tulane,North Texas,W,7,1757.7707337292363
2023,2023-10-21,UAB,Memphis,L,-24,1350.3498759889537
2023,2023-10-21,UCF,Oklahoma,L,-2,1449.9583783095359
2023,2023-10-21,UCLA,Stanford,W,35,1663.8790328123957
2023,2023-10-21,UL Monroe,Georgia Southern,L,-10,1149.7276330062086
2023,2023-10-21,UNLV,Colorado State,W,2,1487.474370759075
2023,2023-10-21,USC,Utah,L,-2,1660.5864678368255
2023,2023-10-21,UTSA,Florida Atlantic,W,26,1630.6817642183364
2023,2023-10-21,Uconn,South Florida,L,-3,1253.9027442612467
2023,2023-10-21,Utah,USC,W,2,1821.155534042239
2023,2023-10-21,Virginia,North Carolina,W,4,1229.3240655782033
2023,2023-10-21,Wake Forest,Pittsburgh,W,4,1437.6141615516042
2023,2023-10-21,Washington,Arizona State,W,8,1857.254805503193
2023,2023-10-21,Washington State,Oregon,L,-14,1434.8168674069816
2023,2023-10-21,West Virginia,Oklahoma State,L,-14,1554.059822531556
2023,2023-10-21,Western Michigan,Ohio,L,-3,1296.206872594186
2023,2023-10-21,Wisconsin,Illinois,W,4,1607.4998736466011
2023,2023-10-24,Liberty,Western Kentucky,W,13,1733.7656916987664
2023,2023-10-24,Louisiana Tech,New Mexico State,L,-3,1134.7526810289842
2023,2023-10-24,New Mexico State,Louisiana Tech,W,3,1466.9740576565732
2023,2023-10-24,Western Kentucky,Liberty,L,-13,1492.8106063125576
2023,2023-10-25,Florida International,Jacksonville State,L,-25,1124.3265422353472
2023,2023-10-25,Jacksonville State,Florida International,W,25,1567.2163985056832
2023,2023-10-25,Sam Houston,UTEP,L,-3,1188.798913652547
2023,2023-10-25,UTEP,Sam Houston,W,3,1164.6368427055897
2023,2023-10-26,Georgia Southern,Georgia State,W,17,1609.73034415808
2023,2023-10-26,Georgia State,Georgia Southern,L,-17,1638.9561145149894
2023,2023-10-26,Syracuse,Virginia Tech,L,-28,1418.2930246467563
2023,2023-10-26,Virginia Tech,Syracuse,W,28,1492.1697197642522
2023,2023-10-27,Charlotte,Florida Atlantic,L,-22,1138.0923213120966
2023,2023-10-27,Florida Atlantic,Charlotte,W,22,1350.7943944632063
2023,2023-10-28,Air Force,Colorado State,W,17,1857.8547243301628
2023,2023-10-28,Arizona,Oregon State,W,3,1549.4327050763895
2023,2023-10-28,Arizona State,Washington State,W,11,1239.30429601813
2023,2023-10-28,Arkansas State,UL Monroe,W,10,1247.0753541638746
2023,2023-10-28,Army,Massachusetts,L,-7,1327.9015123264642
2023,2023-10-28,Auburn,Mississippi State,W,14,1475.8079824347678
2023,2023-10-28,BYU,Texas,L,-29,1627.5508076968833
2023,2023-10-28,Baylor,Iowa State,L,-12,1513.289549345052
2023,2023-10-28,Boise State,Wyoming,W,25,1684.3930032262892
2023,2023-10-28,California,USC,L,-1,1308.1052464615993
2023,2023-10-28,Cincinnati,Oklahoma State,L,-32,1379.9312128276672
2023,2023-10-28,Clemson,NC State,L,-7,1712.2133080388435
2023,2023-10-28,Coastal Carolina,Marshall,W,28,1511.55630982592
2023,2023-10-28,Colorado,UCLA,L,-12,1303.3691777283248
2023,2023-10-28,Colorado State,Air Force,L,-17,1291.194396198923
2023,2023-10-28,Duke,Louisville,L,-23,1577.124413676392
2023,2023-10-28,East Carolina,UTSA,L,-14,1306.6556780092258
2023,2023-10-28,Eastern Michigan,Western Michigan,L,-24,1308.6486063274144
2023,2023-10-28,Florida,Georgia,L,-23,1575.283893909739
2023,2023-10-28,Florida State,Wake Forest,W,25,1910.4327325260122
2023,2023-10-28,Fresno State,UNLV,W,7,1780.294992776113
2023,2023-10-28,Georgia,Florida,W,23,2099.1966860402367
2023,2023-10-28,Georgia Tech,North Carolina,W,4,1307.8410990554962
2023,2023-10-28,Houston,Kansas State,L,-41,1552.9616046316403
2023,2023-10-28,Indiana,Penn State,L,-9,1204.460886967528
2023,2023-10-28,Iowa State,Baylor,W,12,1672.414354990055
2023,2023-10-28,James Madison,Old Dominion,W,3,1804.1850386725062
2023,2023-10-28,Kansas,Oklahoma,W,5,1625.7271730002212
2023,2023-10-28,Kansas State,Houston,W,41,1940.863997405535
2023,2023-10-28,Kentucky,Tennessee,L,-6,1557.8383413367044
2023,2023-10-28,Louisiana,South Alabama,W,13,1581.2710541077176
2023,2023-10-28,Louisville,Duke,W,23,1798.4616042463313
2023,2023-10-28,Marshall,Coastal Carolina,L,-28,1435.7653780309745
2023,2023-10-28,Maryland,Northwestern,L,-6,1551.4443484608728
2023,2023-10-28,Massachusetts,Army,W,7,952.9407961205901
2023,2023-10-28,Memphis,North Texas,W,3,1581.2941907067311
2023,2023-10-28,Miami,Virginia,W,3,1509.566658789085
2023,2023-10-28,Miami (OH),Ohio,W,14,1656.4588280824735
2023,2023-10-28,Michigan State,Minnesota,L,-15,1354.6346066117158
2023,2023-10-28,Minnesota,Michigan State,W,15,1678.4390581514995
2023,2023-10-28,Mississippi State,Auburn,L,-14,1502.9012266121013
2023,2023-10-28,NC State,Florida State,L,-25,1553.679578058165
2023,2023-10-28,Nebraska,Purdue,W,17,1564.6837536707903
2023,2023-10-28,Nevada,New Mexico,W,10,1221.5913523313257
2023,2023-10-28,New Mexico,Nevada,L,-10,1126.3666080526561
2023,2023-10-28,North Carolina,Georgia Tech,L,-4,1687.5356497827734
2023,2023-10-28,North Texas,Memphis,L,-3,1341.3780341489955
2023,2023-10-28,Northwestern,Maryland,W,6,1344.2549185444798
2023,2023-10-28,Notre Dame,Pittsburgh,W,51,1860.6144827779156
2023,2023-10-28,Ohio,Miami (OH),L,-14,1546.4958039752905
2023,2023-10-28,Ohio State,Wisconsin,W,14,2033.4105978131054
2023,2023-10-28,Oklahoma,Kansas,L,-5,1797.2733839418408
2023,2023-10-28,Oklahoma State,Cincinnati,W,32,1643.823461212094
2023,2023-10-28,Old Dominion,James Madison,L,-3,1354.5060938732904
2023,2023-10-28,Ole Miss,Vanderbilt,W,26,1754.8855059427117
2023,2023-10-28,Oregon,Utah,W,29,1867.95146383988
2023,2023-10-28,Oregon State,Arizona,L,-3,1833.7886425292122
2023,2023-10-28,Penn State,Indiana,W,9,1860.167985029502
2023,2023-10-28,Pittsburgh,Notre Dame,L,-51,1405.4389856405871
2023,2023-10-28,Purdue,Nebraska,L,-17,1446.9583703526646
2023,2023-10-28,Rice,Tulane,L,-2,1317.8252140321763
2023,2023-10-28,SMU,Tulsa,W,59,1592.6419420820193
2023,2023-10-28,San Jose State,Hawai'i,W,35,1507.5050677731285
2023,2023-10-28,South Alabama,Louisiana,L,-13,1534.594193208682
2023,2023-10-28,South Carolina,Texas A&M,L,-13,1485.6916351633479
2023,2023-10-28,Stanford,Washington,L,-9,1221.0113873351036
2023,2023-10-28,Tennessee,Kentucky,W,6,1807.815721563105
2023,2023-10-28,Texas,BYU,W,29,1870.4991239187111
2023,2023-10-28,Texas A&M,South Carolina,W,13,1643.9301342329566
2023,2023-10-28,Texas State,Troy,L,-18,1334.0001838946578
2023,2023-10-28,Troy,Texas State,W,18,1804.325111961007
2023,2023-10-28,Tulane,Rice,W,2,1759.5329962535588
2023,2023-10-28,Tulsa,SMU,L,-59,1207.6169375315117
2023,2023-10-28,UCF,West Virginia,L,-13,1394.3565353475171
2023,2023-10-28,UCLA,Colorado,W,12,1676.4209259829386
2023,2023-10-28,UL Monroe,Arkansas State,L,-10,1094.0803450866078
2023,2023-10-28,UNLV,Fresno State,L,-7,1485.8884699312237
2023,2023-10-28,USC,California,W,1,1662.4812540215485
2023,2023-10-28,UTSA,East Carolina,W,14,1658.7620743004718
2023,2023-10-28,Uconn,Boston College,L,-7,1234.8221641547882
2023,2023-10-28,Utah,Oregon,L,-29,1744.227832700408
2023,2023-10-28,Vanderbilt,Ole Miss,L,-26,1210.53561114998
2023,2023-10-28,Virginia,Miami,L,-3,1223.3578762146935
2023,2023-10-28,Wake Forest,Florida State,L,-25,1453.8152732763886
2023,2023-10-28,Washington,Stanford,W,9,1860.225734570425
2023,2023-10-28,Washington State,Arizona State,L,-11,1331.2908604142442
2023,2023-10-28,West Virginia,UCF,W,13,1547.7066664803365
2023,2023-10-28,Western Michigan,Eastern Michigan,W,24,1390.9799466726736
2023,2023-10-28,Wisconsin,Ohio State,L,-14,1610.3040603825027
2023,2023-10-28,Wyoming,Boise State,L,-25,1503.4726079351615
2023,2023-10-31,Buffalo,Toledo,L,-18,1404.405382869249
2023,2023-10-31,Central Michigan,Northern Illinois,W,6,1313.2627723620608
2023,2023-10-31,Northern Illinois,Central Michigan,L,-6,1273.7810445576756
2023,2023-10-31,Toledo,Buffalo,W,18,1695.9496683784007
2023,2023-11-01,Akron,Kent State,W,4,1021.9607833294206
2023,2023-11-01,Ball State,Bowling Green,L,-3,1218.1726720164465
2023,2023-11-01,Bowling Green,Ball State,W,3,1467.5578485187784
2023,2023-11-01,Kent State,Akron,L,-4,1140.8860269425838
2023,2023-11-02,Duke,Wake Forest,W,3,1603.1272922102908
