season,game_date,Team,opponent,Result,point_differential,Pre_Elo_Team,Pre_Elo_Opponent,Post_Elo_Team,Post_Elo_Opponent,Elo_Change,AP_rank,opponent_rank,rank_change
2024,2024-10-09,New Mexico State,Jacksonville State,L,-41,1349.3628310170434,1519.4908908853176,1323.1525665580784,1545.7011553442826,-26.21026445896496,,,
2024,2024-10-10,UTEP,Western Kentucky,L,-27,1386.4092631534493,1561.1223618147471,1362.5823826365734,1584.949242331623,-23.82688051687584,,,0.0
2024,2024-10-10,Western Kentucky,UTEP,W,27,1561.1223618147471,1386.4092631534493,1584.949242331623,1362.5823826365734,23.82688051687584,,,
2024,2024-10-10,James Madison,Coastal Carolina,W,32,1564.676387626937,1508.1691329905564,1604.937736342392,1467.9077842751012,40.2613487154552,,,0.0
2024,2024-10-10,Coastal Carolina,James Madison,L,-32,1508.1691329905564,1564.676387626937,1467.9077842751012,1604.937736342392,-40.2613487154552,,,
2024,2024-10-10,Louisiana Tech,Middle Tennessee,W,27,1407.7955186218255,1357.5636147456737,1448.9036781282641,1316.455455239235,41.10815950643857,,,0.0
2024,2024-10-10,Middle Tennessee,Louisiana Tech,L,-27,1357.5636147456737,1407.7955186218255,1316.455455239235,1448.9036781282641,-41.10815950643857,,,
2024,2024-10-11,Utah State,UNLV,L,-16,1348.364860710112,1549.6237296641284,1330.7346271855258,1567.2539631887146,-17.630233524586234,,,0.0
2024,2024-10-11,UNLV,Utah State,W,16,1549.6237296641284,1348.364860710112,1567.2539631887146,1330.7346271855258,17.630233524586234,,,
2024,2024-10-11,Northwestern,Maryland,W,27,1409.0748542068047,1490.8816169187153,1468.1725418027843,1431.7839293227357,59.09768759597951,,,0.0
2024,2024-10-11,Maryland,Northwestern,L,-27,1490.8816169187153,1409.0748542068047,1431.7839293227357,1468.1725418027843,-59.09768759597951,,,
2024,2024-10-11,Utah,Arizona State,L,-8,1545.4026365511022,1504.8098918691644,1507.8886654852038,1542.3238629350628,-37.51397106589843,18.0,,8.0
2024,2024-10-11,Arizona State,Utah,W,8,1504.8098918691644,1545.4026365511022,1542.3238629350628,1507.8886654852038,37.51397106589843,,,
2024,2024-10-12,Washington State,Fresno State,W,8,1536.0798334656597,1513.6383300087052,1568.1499716594446,1481.5681918149203,32.07013819378484,,,0.0
2024,2024-10-12,Fresno State,Washington State,L,-8,1513.6383300087052,1536.0798334656597,1481.5681918149203,1568.1499716594446,-32.07013819378484,,,
2024,2024-10-12,Ole Miss,LSU,L,-3,1688.0302536161512,1602.7125456160252,1662.9420166407353,1627.800782591441,-25.088236975415874,8.0,10.0,-3.0
2024,2024-10-12,LSU,Ole Miss,W,3,1602.7125456160252,1688.0302536161512,1627.800782591441,1662.9420166407353,25.088236975415874,,,
2024,2024-10-12,Oregon State,Nevada,L,-5,1559.2285206879155,1436.8934455940775,1525.5459810535563,1470.5759852284368,-33.682539634359316,,,0.0
2024,2024-10-12,Nevada,Oregon State,W,5,1436.8934455940775,1559.2285206879155,1470.5759852284368,1525.5459810535563,33.682539634359316,,,
2024,2024-10-12,Penn State,USC,W,3,1619.8877161137314,1523.0817091686204,1634.4422342873304,1508.5271909950213,14.554518173599035,5.0,,-2.0
2024,2024-10-12,USC,Penn State,L,-3,1523.0817091686204,1619.8877161137314,1508.5271909950213,1634.4422342873304,-14.554518173599035,,,
2024,2024-10-12,Pittsburgh,California,W,2,1566.8426305434714,1526.0366278868037,1581.6774727257732,1511.2017857045018,14.83484218230177,24.0,,-2.0
2024,2024-10-12,California,Pittsburgh,L,-2,1526.0366278868037,1566.8426305434714,1511.2017857045018,1581.6774727257732,-14.83484218230177,,,
2024,2024-10-12,Rice,UTSA,W,2,1404.2743076090992,1388.1347125484992,1420.734258212091,1371.6747619455075,16.459950602991835,,,0.0
2024,2024-10-12,UTSA,Rice,L,-2,1388.1347125484992,1404.2743076090992,1371.6747619455075,1420.734258212091,-16.459950602991835,,,
2024,2024-10-12,Army,UAB,W,34,1635.5606506231834,1361.7003693821023,1650.4237719651585,1346.8372480401272,14.863121341975086,,,0.0
2024,2024-10-12,UAB,Army,L,-34,1361.7003693821023,1635.5606506231834,1346.8372480401272,1650.4237719651585,-14.863121341975086,,,
2024,2024-10-12,Rutgers,Wisconsin,L,-35,1555.5386852365032,1466.0048107878774,1495.4358564671215,1526.107639557259,-60.10282876938174,,,0.0
2024,2024-10-12,Wisconsin,Rutgers,W,35,1466.0048107878774,1555.5386852365032,1526.107639557259,1495.4358564671215,60.10282876938174,,,
2024,2024-10-12,San Diego State,Wyoming,W,3,1430.0328768504992,1445.7322492251776,1452.8088443177962,1422.9562817578806,22.775967467297075,,,0.0
2024,2024-10-12,Wyoming,San Diego State,L,-3,1445.7322492251776,1430.0328768504992,1422.9562817578806,1452.8088443177962,-22.775967467297075,,,
2024,2024-10-12,Arizona,BYU,L,-22,1517.32944409977,1633.384567583207,1487.2849395408455,1663.4290721421314,-30.044504558924434,,15.0,0.0
2024,2024-10-12,BYU,Arizona,W,22,1633.384567583207,1517.32944409977,1663.4290721421314,1487.2849395408455,30.044504558924434,,,
2024,2024-10-12,Georgia Southern,Marshall,W,1,1535.6569221236834,1501.519981781378,1545.2875086693687,1491.8893952356927,9.630586545685318,,,0.0
2024,2024-10-12,Marshall,Georgia Southern,L,-1,1501.519981781378,1535.6569221236834,1491.8893952356927,1545.2875086693687,-9.630586545685318,,,
2024,2024-10-12,Wake Forest,Clemson,L,-35,1464.84727624454,1640.0980715070743,1439.2944315531972,1665.650916198417,-25.5528446913426,,11.0,0.0
2024,2024-10-12,Clemson,Wake Forest,W,35,1640.0980715070743,1464.84727624454,1665.650916198417,1439.2944315531972,25.5528446913426,,,
2024,2024-10-12,UCF,Cincinnati,L,-6,1466.1535881138334,1553.403416784422,1444.7950312172934,1574.761973680962,-21.35855689654005,,,0.0
2024,2024-10-12,Cincinnati,UCF,W,6,1553.403416784422,1466.1535881138334,1574.761973680962,1444.7950312172934,21.35855689654005,,,
2024,2024-10-12,Syracuse,NC State,W,7,1530.2187943501713,1392.450497920951,1548.1415926008679,1374.5276996702544,17.922798250696676,,,0.0
2024,2024-10-12,NC State,Syracuse,L,-7,1392.450497920951,1530.2187943501713,1374.5276996702544,1548.1415926008679,-17.922798250696676,,,
2024,2024-10-12,Washington,Iowa,L,-24,1575.3012745037843,1545.7851952210224,1523.2332593083838,1597.8532104164228,-52.068015195400406,,,0.0
2024,2024-10-12,Iowa,Washington,W,24,1545.7851952210224,1575.3012745037843,1597.8532104164228,1523.2332593083838,52.068015195400406,,,
2024,2024-10-12,Massachusetts,Missouri,L,-42,1359.379550060123,1548.5994084554084,1335.2104007856647,1572.7685577298666,-24.169149274458345,,18.0,0.0
2024,2024-10-12,Missouri,Massachusetts,W,42,1548.5994084554084,1359.379550060123,1572.7685577298666,1335.2104007856647,24.169149274458345,,,
2024,2024-10-12,Miami (OH),Eastern Michigan,W,24,1421.7574003172012,1512.0521064404227,1480.339800203431,1453.469706554193,58.58239988622972,,,0.0
2024,2024-10-12,Eastern Michigan,Miami (OH),L,-24,1512.0521064404227,1421.7574003172012,1453.469706554193,1480.339800203431,-58.58239988622972,,,
2024,2024-10-12,Georgia,Mississippi State,W,10,1496.1459074019604,1370.9847382029782,1518.132334727393,1348.9983108775455,21.986427325432807,4.0,,-1.0
2024,2024-10-12,Mississippi State,Georgia,L,-10,1370.9847382029782,1496.1459074019604,1348.9983108775455,1518.132334727393,-21.986427325432807,,,
2024,2024-10-12,North Texas,Florida Atlantic,W,4,1526.38844670649,1454.4898838187762,1545.337146697432,1435.5411838278342,18.948699990942053,,,0.0
2024,2024-10-12,Florida Atlantic,North Texas,L,-4,1454.4898838187762,1526.38844670649,1435.5411838278342,1545.337146697432,-18.948699990942053,,,
2024,2024-10-12,NC State,Clemson,L,-35,1374.5276996702544,1665.650916198417,1360.9437585523456,1679.2348573163258,-13.583941117908765,,11.0,0.0
